id	text	timestamp	location
1541	The NY Knicks Beat The Chicago Bulls 110-92 And Are Now (26-45) Hardaway Jr 22 Pts, Kanter 10 Pts 13 Reb, Beasley 17 Pts #NYK #Knicks	2018-03-20 01:57:13	None
1542	@SUZAN916 @nyknicks @chicagobulls Hey there, Sweetie. How was everything? ~ M	2018-03-20 01:57:31	None
1543	Going to be a little tougher now for Gar Forman to sell Will Barton level free agents on joining a perennial playof… https://t.co/MBgEmraC9n	2018-03-20 01:57:46	None
1544	Tank do meu ❤ https://t.co/HUHUzSVW91	2018-03-20 01:57:49	None
1545	@RaeJohnsonNBA @chicagobulls Yes dm them questions for their podcast. He wants to be on it but i think he doesn’t w… https://t.co/hOtnAEFJDV	2018-03-20 01:57:50	None
1546	#NBA Los @NYKnicks vencieron 110 - 92 a los @ChicagoBulls. @SacramentoKings y @DetroitPistons se enfrentan en minutos. #ATodaMecha	2018-03-20 01:57:57	None
1547	O que esperar do Chicago Bulls pra próxima temporada já que essa está muito a baixo da tradição do time #NBAnaESPN	2018-03-20 01:58:04	None
1548	Not a shocker 😩 https://t.co/blDMStCYn1	2018-03-20 01:58:12	None
1549	Blakeney joga dmais. Preciss ter o contrato renovado e ser mais utilizado ano que vem. https://t.co/hxnwyEKJYI	2018-03-20 01:58:24	None
1550	#Bulls managed to out tank the #Knicks https://t.co/wpTGCRZgP6	2018-03-20 01:58:26	None
1551	FINAL!#BullsNation (24-46) 92#Knicks(26-45) 110📊#BullsNation Felício 🇧🇷 17p, 6r; Portis 16p, 7r,4a; Blakeney… https://t.co/xEOrvzE1FQ	2018-03-20 01:58:30	None
1552	https://t.co/lvQRUHoAW0 #Fortnite #FortNiteUS #PinkTeddy @IGN @FortniteGame @FortniteBR @Fortnite_BR @FortNiteClipz… https://t.co/B7bJAstlib	2018-03-20 01:58:34	None
1553	Nothing shocking here, but the Chicago Bulls have officially been eliminated from the playoffs...#BullsNation	2018-03-20 01:58:35	None
