id	text	timestamp	location
46	#basketballislife @DwyaneWade https://t.co/3exN91sFM1	2018-03-19 17:55:11	None
47	Hey @2lockSports is neck tat vs neck tat a narrative you are running with today? James Johnson &amp; Wilson Chandler. Lmao	2018-03-19 17:55:50	None
48	@_FabeWade @ATHdaMACnific1 @DatBoiPeezy_12 @HawaiiSlimm @DwyaneWade Would of been Pistons Pacers all over again he did that to me	2018-03-19 17:56:22	None
49	GAMEDAY ! Après la victoire au buzzer contre les Lakers pour conclure le road trip, le Heat (37-33) accueil les Nug… https://t.co/sEA1YsdBP1	2018-03-19 17:56:35	None
50	#FRESHSPORTS Dwyane Wade breaks down why he's going to continue doing 'more than dribble' https://t.co/sgAQuO9mqD… https://t.co/CyBGYpEwqJ	2018-03-19 17:57:13	None
51	@zeroquetrocks @AlykatAlyssa @melakatweets @roperisland921 @Sarahchadwickk @DwyaneWade  https://t.co/WzD7KtGsQa	2018-03-19 17:57:32	None
52	Crazy how much universal love you get wearing a @DwyaneWade @MiamiHEAT jersey, even snowboarding in Keystone, CO https://t.co/UfxlHJfizu	2018-03-19 17:57:49	None
53	Wade et Whiteside sont toujours out, tandis que Derrick Jones Jr. est une nouvelle fois de retour dans le roster. #HeatCulture	2018-03-19 17:57:52	None
54	Dwyane Wade isn't going to stop serving as an activist anytime soon. https://t.co/SVVlJOvoDc #spebid #fashion	2018-03-19 17:58:07	None
55	Denver Nuggets at Miami HEAT Game Preview - https://t.co/6e0fTAtPUp https://t.co/BjA29KaZZe	2018-03-19 17:58:07	None
56	He already addressed this over a year ago when his cousin was killed so fuck off 🖕 https://t.co/1pcqk7zsGL	2018-03-19 17:58:14	None
57	Dwyane Wade et Hassan Whiteside toujours forfaits contre Denver ce soir.	2018-03-19 17:59:17	None
58	NBA star Dwyane Wade defends activism: 'I do more than dribble'https://t.co/PIYHgLEVOc	2018-03-19 18:00:19	None
59	@MiamiHEAT host Nuggets tonight. Join me @JohnKCrotty @ZaslowShow Tommy Tighe @790TheTicket Miami Heat Basketball N… https://t.co/Kphxzy2LEm	2018-03-19 18:00:40	None
60	So apparently Lebron gained 7 pounds DURING a single game while he was with the Miami Heat? 😳🧐	2018-03-19 18:00:45	None
61	@MiamiHEAT Aye	2018-03-19 18:01:00	None
62	I’m definitely fucking with Miami sweet heat this year 😁	2018-03-19 18:01:54	None
63	Pero lamentablemente MJ está en casa ya el que está es James 🤷🏽‍♂️ https://t.co/puWCp1Xqpp	2018-03-19 18:02:33	None
64	@MZavagno11 Gotta love March/April NBA. This is normally Dion Waiters time	2018-03-19 18:02:58	None
65	@itsgabrielleu @DwyaneWade can y'all please retweet this and ask @KingJames to please read it and pay homage to Vir… https://t.co/xfDw2NnG0Y	2018-03-19 18:03:15	None
66	Fuck https://t.co/55a5PKxXcU	2018-03-19 18:03:24	None
67	Drag them Rhonda https://t.co/qbMWP767UH	2018-03-19 18:03:42	None
68	The future holds twice as many heat waves — all because of us, research shows: Miami Herald https://t.co/HVoi22HuLc #environment	2018-03-19 18:04:19	None
69	James Johnson : Serdar ben yabancıyım	2018-03-19 18:04:26	None
70	More #NBA games played tonight ➡️ https://t.co/Fgr0w96eW9Miami Heat vs Denver NuggetsBrooklyn Nets vs Memphis Gr… https://t.co/vAcwO95Glx	2018-03-19 18:05:17	None
71	#TenantSpotlight Is your summer body ready for this Miami heat? @Clothinglive on Lincoln Road has you covered with… https://t.co/szQutoeySp	2018-03-19 18:05:19	None
72	What an idiot https://t.co/OQEvwfmKHt	2018-03-19 18:05:23	None
73	@MiamiHEAT big man @Bam1of1 in for a battle vs Nikola Jokic who over last 6gms ave. 22pt 10.5RB 6.5Ast &amp; 8 Trpl-Dbl… https://t.co/zDtKQqyRFM	2018-03-19 18:05:29	None
74	You know what that means...... https://t.co/TqE15QyYUr	2018-03-19 18:05:55	None
75	✅ Miami Heat -1.5Game &amp; bet information: https://t.co/Ar7fls4RCP@dsmll63On it? RETWEET#Heat	2018-03-19 18:06:29	None
76	Miami Heat vs Denver Nuggets (By: Obertino) #MiamiHeat #DenverNuggets @Betshoot https://t.co/SSjgtFsGn4	2018-03-19 18:06:44	None
77	@DwyaneWade Change Robbins il nigga we need help Miami stright remember were u come from real fuckin talk	2018-03-19 18:07:14	None
78	@CNN @DwyaneWade When you have a sweet, innocent young boy buried in your jersey, your heart is broken wide open.  Mine was.  Love You, D.	2018-03-19 18:07:45	None
79	@ChrisFagan57 @NewDay @CNN @DwyaneWade @davebriggstv And makes more than you. And instead of blowing the high amoun… https://t.co/256TOuxlAy	2018-03-19 18:08:54	None
80	@MiamiHEAT all-star @Goran_Dragic last 2gms w/33 &amp; 30 pts including gm winner in L.A. For HEAT @youngwhiteside expe… https://t.co/4iWlVc5vrV	2018-03-19 18:09:55	None
81	@_FabeWade @JVino_ @DatBoiPeezy_12 @HawaiiSlimm @DwyaneWade Thats what sent dat boy career downhill 😂	2018-03-19 18:10:02	None
82	Y’all need to do this @MiamiHEAT https://t.co/7AM1qgPZT3	2018-03-19 18:10:28	None
83	I think I need an older woman too 😂 https://t.co/02IqxrrJv8	2018-03-19 18:10:29	None
84	Tyler Coenen #Johnson #Iowa #Arrest #Mugshot Source: https://t.co/V0IVXptp7t https://t.co/Xjax7f1Pjk	2018-03-19 18:10:42	None
85	EL OHH ELLL 💀💀💀💀 https://t.co/dH1ZgB6MMl	2018-03-19 18:11:11	None
86	I always said my #1 reason for never returning to live in Miami was the heat (despite living in CA, it’s different… https://t.co/AxHZhonhhA	2018-03-19 18:12:10	None
87	Today's NBA Picks: 7:38 PM EST - Denver Nuggets vs. Miami Heat - 6 PICKS AVAILABLE - https://t.co/N6ZGtM2Rat	2018-03-19 18:12:30	None
88	@allibeth63 @SturmDaddy @roperisland921 @Sarahchadwickk @DwyaneWade “Look at me I’m so smart, no one disagrees with… https://t.co/m3JCIvUq6c	2018-03-19 18:12:37	None
89	@CNN @DwyaneWade I don’t even like basketball but Dwayane Wade is my hero. A American that all generations can learn from.	2018-03-19 18:13:40	None
90	Heat not thinking about playoffs when dealing with Dwyane Wade and Hassan Whiteside’s injuries https://t.co/qpI4mHeVVd	2018-03-19 18:14:03	None
91	Monday mornings in Camp Howard!#HEATCulture https://t.co/9btdY0WdwO	2018-03-19 18:14:15	None
92	Damn Lebron was 278 pounds at one point when playing with the Miami Heat lol. A dude that big ain’t suppose to move… https://t.co/gQQQk6H9FG	2018-03-19 18:14:50	None
93	[Miami Herald] As playoffs near, Heat can afford to be extra cautious with these injured players https://t.co/1gJqgjikt7 #Heat #MiamiHeat	2018-03-19 18:14:57	None
94	[Palm Beach Post: Heat Zone] Heat not thinking about playoffs when dealing with Dwyane Wade and Has https://t.co/8hGEJEA8a5 #Heat #MiamiHeat	2018-03-19 18:14:57	None
95	Kudos to former Pinecrest resident and Miami Heat legend Dwyane Wade. #MSDStrong #NeverAgain https://t.co/oAMfUb0SEk	2018-03-19 18:14:58	None
96	@Soslamy23 Massive credit to Erik Spoelstra for that never becoming an issue in Miami.	2018-03-19 18:15:18	None
97	@MiamiHEAT Stop toying with the guy just give him the contract he deserves	2018-03-19 18:15:50	None
